label,text,cleaned_text,normalized_text,tokens,token_count,processed_text
4,star trek imax would awesom hope show imax sometim seen yesday,star trek imax would awesom hope show imax sometim seen yesday,star trek imax would awesom hope show imax sometim seen yesday,star trek imax awesom hope show imax sometim seen yesday,10,star trek imax awesom hope show imax sometim seen yesday
4,jb live chat hilari cant wait next week jona brother lt,jb live chat hilari cant wait next week jona brother lt,jb live chat hilari cant wait next week jona brother lt,jb live chat hilari cant wait next week jona brother lt,11,jb live chat hilari cant wait next week jona brother lt
4,fake tan dri ah pretti brown though need anoth coat bring king,fake tan dri ah pretti brown though need anoth coat bring king,fake tan dri ah pretti brown though need anoth coat bring king,fake tan dri ah pretti brown though need anoth coat bring king,12,fake tan dri ah pretti brown though need anoth coat bring king
0,sun shine shame nice florida,sun shine shame nice florida,sun shine shame nice florida,sun shine shame nice florida,5,sun shine shame nice florida
4,thx rt how halifax cool sunni blue sky look like love day,thx rt how halifax cool sunni blue sky look like love day,thx rt how halifax cool sunni blue sky look like love day,thx rt halifax cool sunni blue sky look like love day,11,thx rt halifax cool sunni blue sky look like love day
4,ya know thought text drive bad text tri dock mph that reckless,ya know thought text drive bad text tri dock mph that reckless,ya know thought text drive bad text tri dock mph that reckless,ya know thought text drive bad text tri dock mph reckless,11,ya know thought text drive bad text tri dock mph reckless
4,went sch find lower pri teacher dont sch today one told us mac breakfast,went sch find lower pri teacher dont sch today one told us mac breakfast,went sch find lower pri teacher dont sch today one told us mac breakfast,went sch find lower pri teacher dont sch today one told us mac breakfast,14,went sch find lower pri teacher dont sch today one told us mac breakfast
0,dont want spam,dont want spam,dont want spam,dont want spam,3,dont want spam
4,woohoo today friday gotta get today day fun,woohoo today friday gotta get today day fun,woohoo today friday gotta get today day fun,woohoo today friday got ta get today day fun,9,woohoo today friday got ta get today day fun
4,one last tweet head bed realli hope your feel better your awesom dream lava,one last tweet head bed realli hope your feel better your awesom dream lava,one last tweet head bed realli hope your feel better your awesom dream lava,one last tweet head bed realli hope feel better awesom dream lava,12,one last tweet head bed realli hope feel better awesom dream lava
0,tooth unbear pain,tooth unbear pain,tooth unbear pain,tooth unbear pain,3,tooth unbear pain
0,sad jason via ifriendfeedcom,sad jason via ifriendfeedcom,sad jason via ifriendfeedcom,sad jason via ifriendfeedcom,4,sad jason via ifriendfeedcom
0,haha matter time feel guilti though,haha matter time feel guilti though,haha matter time feel guilti though,haha matter time feel guilti though,6,haha matter time feel guilti though
4,hey pooh,hey pooh,hey pooh,hey pooh,2,hey pooh
0,think lunch cant decid,think lunch cant decid,think lunch cant decid,think lunch cant decid,4,think lunch cant decid
4,footi train tonight went well prep semi final tomorrow good one,footi train tonight went well prep semi final tomorrow good one,footi train tonight went well prep semi final tomorrow good one,footi train tonight went well prep semi final tomorrow good one,11,footi train tonight went well prep semi final tomorrow good one
4,two favorit male artist dont know like love somebodi way love,two favorit male artist dont know like love somebodi way love,two favorit male artist dont know like love somebodi way love,two favorit male artist dont know like love somebodi way love,11,two favorit male artist dont know like love somebodi way love
0,miss uu u dont even get u get shut haha,miss uu u dont even get u get shut haha,miss uu u dont even get u get shut haha,miss uu dont even get get shut haha,8,miss uu dont even get get shut haha
