article,summary
london england reuters harry potter star daniel radcliffe gains access reported million million fortune turns monday insists money wont cast spell daniel radcliffe harry potter harry potter order phoenix disappointment gossip columnists around world young actor says plans fritter cash away fast cars drink celebrity parties dont plan one people soon turn suddenly buy massive sports car collection something similar told australian interviewer earlier month dont think ill particularly extravagant things like buying things cost pounds books cds dvds radcliffe able gamble casino buy drink pub see horror film hostel part ii currently six places number one movie uk box office chart details hell mark landmark birthday wraps agent publicist comment plans ill definitely sort party said interview hopefully none reading radcliffes earnings first five potter films held trust fund able touch despite growing fame riches actor says keeping feet firmly ground people always looking say kid star goes rails told reporters last month try hard go way would easy latest outing boy wizard harry potter order phoenix breaking records sides atlantic reprise role last two films watch ireporter give review potters latest life beyond potter however londoner filmed tv movie called boy jack author rudyard kipling son due release later year also appear december boys australian film four boys escape orphanage earlier year made stage debut playing tortured teenager peter shaffers equus meanwhile braced even closer media scrutiny hes legally adult think im going sort fair game told reuters email friend copyright reuters rights reservedthis material may published broadcast rewritten redistributed,harry potter star daniel radcliffe gets fortune turns monday young actor says plans fritter cash away radcliffes earnings first five potter films held trust fund
editors note behind scenes series cnn correspondents share experiences covering news analyze stories behind events soledad obrien takes users inside jail many inmates mentally ill inmate housed forgotten floor many mentally ill inmates housed miami trial miami florida cnn ninth floor miamidade pretrial detention facility dubbed forgotten floor inmates severe mental illnesses incarcerated theyre ready appear court often face drug charges charges assaulting officer charges judge steven leifman says usually avoidable felonies says arrests often result confrontations police mentally ill people often wont theyre told police arrive scene confrontation seems exacerbate illness become paranoid delusional less likely follow directions according leifman end ninth floor severely mentally disturbed getting real help theyre jail toured jail leifman well known miami advocate justice mentally ill even though exactly welcomed open arms guards given permission shoot videotape tour floor go inside forgotten floor first hard determine people prisoners wearing sleeveless robes imagine cutting holes arms feet heavy wool sleeping bag thats kind look like theyre designed keep mentally ill patients injuring thats also shoes laces mattresses leifman says onethird people miamidade county jails mentally ill says sheer volume overwhelming system result see ninth floor course jail supposed warm comforting lights glare cells tiny loud see two sometimes three men sometimes robes sometimes naked lying sitting cells son president need get one man shouts absolutely serious convinced help way could reach white house leifman tells prisonerpatients often circulate system occasionally stabilizing mental hospital return jail face charges brutally unjust mind become strong advocate changing things miami meal later talk things got way mental patients leifman says years ago people considered lunatics locked jails even charges considered unfit society years says public outcry mentally ill moved jails hospitals leifman says many mental hospitals horrible shut patients go nowhere streets became many cases homeless says never got treatment leifman says half million people state mental hospitals today number reduced percent people mental hospitals judge says hes working change starting many inmates would otherwise brought forgotten floor instead sent new mental health facility first step journey toward longterm treatment punishment leifman says complete answer start leifman says best part winwin solution patients win families relieved state saves money simply cycling prisoners leifman justice served email friend,mentally ill inmates miami housed forgotten floor judge steven leifman says result avoidable felonies cnn tours facility patient shouts son president leifman says system unjust hes fighting change
minneapolis minnesota cnn drivers minneapolis bridge collapsed told harrowing tales survival whole bridge one side mississippi completely gave way fell way survivor gary babineau told cnn probably foot free fall theres cars water theres cars fire whole bridge said back injured determined could move around realized school bus right next couple guys went started lifting kids bridge yelling screaming bleeding think broken bones watch driver describe narrow escape home heard disaster dr john hink emergency room physician jumped car rushed scene minutes arrived south side bridge stood riverbank saw dozens people lying dazed expansive deck middle mississippi river churning fast way getting went north side easier access people ambulances also hard time driving river get closer scene working feverishly volunteers emts officials managed get people ambulances less two hours occasionally pickup truck medic inside would drive get injured person bring back even ground hink told cnn rescue effort controlled organized said opposite lightningquick collapse could see whole bridge going falling babineau said gave rumble real quick gave way fell completely way ground dust everywhere like everyone saying like movies babineau said rear pickup truck dangling edge brokenoff section bridge said several vehicles slid past water stayed car one two seconds saw couple cars fall said stayed car cars quit falling second got real quick ran front truck behind truck hole helped woman bridge wanted bridge ran school bus started grabbing kids handing complete chaos said children crying screaming rescuers set ground told run river bank needed carried injuries see rescuers clamber rubble babineau said rescue training knew moment melissa hughes minneapolis told associated press driving home western edge bridge collapsed know freefall feeling felt twice hughes said pickup landed top car hurt idea vehicle car told ap really surreal babineau told minneapolis startribune way thought dead literally thought dead truck completely face pointed toward ground truck got ripped half folded half cant believe im alive see hear eyewitness accounts bernie toivonen told cnns american morning vehicle part bridge ended tilted degree angle knew deck going question thought going die said bridge settled car remained upright put park turned key said oh im alive said email friend,new thought going die driver says man says pickup truck folded half cut face driver probably foot free fall minnesota bridge collapsed rush hour wednesday
washington cnn doctors removed five small polyps president bushs colon saturday none appeared worrisome white house spokesman said polyps removed sent national naval medical center bethesda maryland routine microscopic examination spokesman scott stanzel said results expected two three days small less centimeter half inch diameter said bush good humor stanzel said resume activities camp david procedure vice president dick cheney assumed presidential power bush reclaimed presidential power two hours doctors used monitored anesthesia care stanzel said president asleep deeply unconscious true general anesthetic spoke first lady laura bush midland texas celebrating mothers birthday procedure stanzel said afterward president played scottish terriers barney miss beazley stanzel said planned lunch camp david briefings national security adviser stephen hadley white house chief staff josh bolten planned take bicycle ride saturday afternoon cheney meanwhile spent morning home marylands eastern shore reading playing dogs stanzel said nothing occurred required take official action president bush reclaimed presidential power procedure supervised dr richard tubb bushs physician conducted multidisciplinary team national naval medical center bethesda maryland white house said bushs last colonoscopy june abnormalities found white house spokesman tony snow said presidents doctor recommended repeat procedure five years colonoscopy sensitive test colon cancer rectal cancer polyps small clumps cells become cancerous according mayo clinic small polyps may removed procedure snow said friday bush polyps removed colonoscopies becoming president snow undergoing chemotherapy cancer began colon spread liver watch snow talk bushs procedure colon cancer president wants encourage everybody use surveillance snow said american cancer society recommends people without high risk factors symptoms begin getting screened signs colorectal cancer age email friend,five small polyps found procedure none worrisome spokesman says president reclaims powers transferred vice president bush undergoes routine colonoscopy camp david
cnn national football league indefinitely suspended atlanta falcons quarterback michael vick without pay officials league said friday nfl star michael vick set appear court monday judge final say plea deal earlier vick admitted participating dogfighting ring part plea agreement federal prosecutors virginia admitted conduct illegal also cruel reprehensible team nfl nfl fans hurt actions nfl commissioner roger goodell said letter vick goodell said would review status suspension legal proceedings papers filed friday federal court virginia vick also admitted two coconspirators killed dogs fight well falcons owner arthur blank said vicks admissions describe actions incomprehensible unacceptable suspension makes strong statement conduct tarnishes good reputation nfl tolerated said statement watch led vicks suspension goodell said falcons could assert claims remedies recover million vicks signing bonus year million contract signed according associated press vick said would plead guilty one count conspiracy travel interstate commerce aid unlawful activities sponsor dog animal fighting venture plea agreement filed us district court richmond virginia charge punishable five years prison fine full restitution special assessment years supervised release plea deal said federal prosecutors agreed ask low end sentencing guidelines defendant plead guilty defendant fact guilty charged offense plea agreement said additional summary facts signed vick filed agreement vick admitted buying pit bulls property used training fighting dogs statement said bet fights receive money bad newz kennels operations gambling monies provided vick official summary facts said gambling wins generally split among coconspirators tony taylor quanis phillips sometimes purnell peace continued vick gamble placing side bets fights vick receive proceeds purses bad newz kennels vick also agreed collective efforts two others caused deaths least six dogs around april vick peace phillips tested dogs fighting sessions vicks property virginia statement said peace phillips vick agreed killing approximately dogs perform well testing sessions moonlight road dogs killed various methods including hanging drowning vick agrees stipulates dogs died result collective efforts peace phillips vick summary said peace virginia beach virginia phillips atlanta georgia taylor hampton virginia already accepted agreements plead guilty exchange reduced sentences vick scheduled appear monday court expected plead guilty judge see timeline case vick judge case final say plea agreement federal case vick focused interstate conspiracy vicks admission involved killing dogs could lead local charges according cnn legal analyst jeffrey toobin sometimes happens often state follow federal prosecution charging crimes exactly behavior toobin said friday risk vick makes admissions federal guilty plea state virginia could say hey look admitted violating virginia state law well going introduce charge court plea deal vick agreed cooperate investigators provide information may criminal activity testify necessary vick also agreed turn documents submit polygraph tests vick agreed make restitution full amount costs associated dogs held government costs may include limited costs associated care dogs involved case including necessary longterm care andor humane euthanasia animals prosecutors support animal rights activists asked permission euthanize dogs dogs could serve important evidence cases vick admitted coconspirators judge henry e hudson issued order thursday telling us marshals service arrest seize defendant property use discretion whatever means appropriate protect maintain said defendant property judges order vicks filing refer approximately pit bull dogs vicks indictment last month goodell ordered quarterback report falcons training camp league reviewing case blank told nfl network monday could speculate vicks future falcon least seen statement facts case email friend cnns mike phelan contributed report,new nfl chief atlanta falcons owner critical michael vicks conduct nfl suspends falcons quarterback indefinitely without pay vick admits funding dogfighting operation says gamble vick due federal court monday future nfl remains uncertain
baghdad iraq cnn dressed superman shirt yearold youssif held sisters hand friday seemingly unaware millions people across world touched story nearby parents talked new future hope boy potential recovery severe burns youssif holds sisters hand friday hes wearing facial mask often used help burn victims best birthday present iraqi family could ever imagined boy youssif turns next friday happy didnt know mother zainab told cnn broad smile across face didnt think reaction would big father said roof house cnn called news outpouring support son want thank everyone come forward said knew kindness like wife couldnt stop smiling talked tried vain get help son baghdad leaving stone unturned mission help boy many trips ministry health says even put request iraqs parliament help family eventually told cnn story youssif grabbed masked men outside home january doused gasoline set fire simply coming forward parents put incredible danger one arrested held accountable youssifs case watch cnns arwa damon describe truly phenomenal outpouring shortly youssifs story aired wednesday childrens burn foundation nonprofit organization based sherman oaks california provides support burn victims locally nationally internationally agreed pay transportation youssif family come united states set fund donations make donation foundations site clicking theres dropdown menu general donation area marked youssifs fund foundation says cover medical costs surgeries youssif housing costs social rehabilitation might needed surgeries performed dr peter grossman plastic surgeon affiliated grossman burn center donating services youssifs cause officials still trying get appropriate visas familys travels prepared come set housing situation provide support begin treatment said barbara friedman executive director childrens burn foundation expect treatment six months year many surgeries added getting absolute best care thats available youssifs parents said know going lengthy difficult process adjusting stay america may easy none matters getting help boy first foremost anything youssif father said pulling son closer child everything mother tried coax youssif talk us day didnt want mother says hes shy outside home biggest obstacle getting visas leave serious security risks face every day hour remain iraq family saw worst humanity january day new hope world partly due tens thousands cnncom users moved story wanted act cnn iraqi staff central bringing story together also overwhelmed generosity coming people outside border nation largely feels abandoned rest world refreshing realization email friend cnncom senior producer wayne drash contributed report atlanta,parents beam pride cant stop smiling outpouring support mom happy didnt know burn center us offered provide treatment reconstructive surgeries dad says anything youssif
baghdad iraq cnn women afraid ashamed show faces real names used driven sell bodies put food table children little day suha mother three says husband thinks cleaning houses leaves home people shouldnt criticize women talk badly says yearold suha adjusts light colored scarf wears days avoid extremists insist women cover say lost way never ask take path mother three wears light makeup gold pendant iraq around neck unexpected air elegance dont money take kid doctor anything preserve child mother says explaining prostitutes anger frustration rise voice speaks matter else may matter path may mother watch woman describe turning prostitution save child clasped hands clench unclench nervously suhas husband thinks cleaning houses goes away karimas family start cleaning homes wasnt making much matter hard worked wasnt enough says karima clad black adds husband died lung cancer nine months ago left nothing five children ages eldest son could work shes afraid life let go streets preferring sacrifice risk child solicited first time cleaning office took advantage says softly first rejected realized suha karima clients call couple times week women resort trips market find potential clients flag vehicles prostitution choice iraqi women making survive increasing suha says found thing friend another friend predicament mine circumstance forced things violence increased cost living lack sort government aid leave women like options according humanitarian workers point population women sell bodies order keep children alive says yanar mohammed head founder organization womens freedom iraq taboo one speaking adds huge population women victims war sell bodies souls lost crushes us see work thats started team women activists team pounds streets baghdad looking victims often humiliated come forward women find hospitals tried commit suicide involved prostitution said basma rahim member mohammeds team teams aim compile information specific cases present iraqs political parties mohammed puts come tell us going rahim tells heartbreaking story one woman found lives room three children sex three children room makes stand separate corners according rahim mohammed women encounter say driven prostitution desperate desire survival dangerously violent unforgiving circumstances iraq took path pleased rahim says karima says sees children food table able convince worth everything children beauty life without cannot live says would never allow daughter would rather marry go karimas last happy memory late husband family able shoulder hardships life todays iraq together suha says young girl dreamed doctor mom boasting potential career life couldnt taken dream like born ever blood says family survive eats away lay pillow brain spinning comes back watching movie email friend,aid workers violence increased cost living drive women prostitution group working raise awareness problem iraqs political leaders two iraqi mothers tell cnn turned prostitution help feed children everything children one woman says
bogota colombia cnn key rebel commander fugitive us drug trafficking indictment killed weekend air attack guerrilla encampment colombian military said monday alleged cocaine trafficker farc rebel tomas medina caracas interpol photo tomas medina caracas known popularly el negro acacio member high command fuerzas armadas revolucionarias de colombia according colombian us officials helped manage groups extensive cocaine trafficking network crosshairs us justice department since charged conspiracy import cocaine united states manufacturing distributing cocaine within colombia fund farcs year insurgency government us officials alleged medina caracas managed rebel groups sales cocaine international drug traffickers turn smuggled united states also indicted united states along two farc commanders november charges conspiring kidnap two us oil workers neighboring venezuela holding one nine months million ransom paid officials said armys rapid response force backed elements colombian air force tracked medina caracas farc camp jungle south country bombardment troops occupied camp theyve found dead rebels far along rifles pistols communications equipment four gps systems defense minister juan manuel santos said news conference death el negro acacio confirmed various sources including members farc medina caracas commanded farcs th front southern departments vichada guainia established military wing colombian communist party farc colombias oldest largest capable bestequipped marxist rebel group according us department state email friend journalist fernando ramos contributed report,tomas medina caracas fugitive us drug trafficking indictment el negro acacio allegedly helped manage extensive cocaine network us justice department indicted colombian military killed attack guerrilla encampment
washington cnn white house press secretary tony snow undergoing treatment cancer step post september replaced deputy press secretary dana perino white house announced friday white house press secretary tony snow step post september president bush told reporters friday sadly accept snows resignation flanked snow perino white house press room president spoke warmly departing press secretary joy watch spar bush told reporters watch announcement snow leaving bush said certain two things regard snow hell battle cancer win bush said hell solid contributor society turning snow president said love wish best snow speaking bush start daily white house news conference said leaving earn money took big pay cut said left previous jobs anchor political analyst fox news according washington post snow makes white house spokesman family took loan started job loan gone job really dream blast ive enormous amount fun satisfaction snow said said would continue speak issues would radio tv dont anticipate fulltime anchor duties snow said hes received great satisfaction talking people illness snows cancer diagnosed first time february colon removed six months treatment doctors said cancer remission perino announced march snows cancer recurred doctors removed growth abdomen day sources told cnn two weeks ago snow planning leave job possibly early september bush tapped snow replace scott mcclellan april snow anchor fox news sunday political analyst fox news channel joined also hosted tony snow show fox news radio thursday snow told cnn health improving citing two medical tests month found cancer spread tumors stable growing snow said results mri cat scan new growths health good press secretary whose hair turned gray chemotherapy treatment said black hair expected grow back month im also putting weight said returning day vacation actually feel good health situation snow said friday see oncologist decide minor forms chemotherapy start maintenance treatment email friend,president bush says tony snow battle cancer win job press secretary dream snow says snow leaving september succeeded dana perino
cnn police fbi agents investigating discovery empty rocket launcher tube front lawn jersey city new jersey home fbi spokesman sean quinn said niranjan desai discovered yearold antitank rocket launcher tube onetimeuse device lying lawn friday morning police said launcher turned us army officials th ordnance company explosive ordnance disposal unit fort monmouth new jersey army officials said launcher longer operable considered hazard public safety police said adding indication launcher fired recently army officials said could determine launcher fired indicated know find came nearest military base fort dix miles jersey city joint terrorism task force division fbi jersey city police investigating origin rocket launcher circumstance led appearance residential property al qaeda doesnt leave rocket launcher lawn middleaged ladies said paul cruickshank new york university law schools center law security neighbor joe quinn said object lying desais lawn looked military brown handle strap ends open like could shoot something quinn also said device picture soldier feet long army official said device basically shoulderfired directfire weapon used ground targets modernday bazooka wireguided according web site globalsecurityorg loaded antitank weapon inchlong fiberglasswrapped tube weighs pounds millimeter shapedcharge missile penetrate inches armor maximum feet used discarded email friend cnns carol cratty dugald mcconnell mike mount contributed report,empty antitank weapon turns front new jersey home device handed army ordnance disposal unit weapon capable reloaded experts say
