,Backend Developer,Database Administrator,DevOps Engineer,Django Developer,Flutter Developer,Full Stack Developer,Java Developer,JavaScript Developer,Machine Learning,Network Administrator,Node js developer,PHP Developer,Software Engineer,Wordpress Developer,iOS Developer
Backend Developer,17,0,0,1,1,0,4,0,0,0,2,2,2,0,0
Database Administrator,0,26,0,0,0,1,0,0,0,0,0,0,1,0,0
DevOps Engineer,0,0,29,0,0,0,0,0,0,1,0,0,1,0,0
Django Developer,1,0,0,26,1,2,0,0,0,0,0,0,1,0,0
Flutter Developer,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0
Full Stack Developer,1,0,0,0,0,22,1,0,0,1,1,0,2,0,0
Java Developer,2,1,0,0,0,3,22,1,0,0,0,0,3,0,0
JavaScript Developer,2,1,1,1,0,2,0,25,0,0,0,0,1,0,0
Machine Learning,1,0,0,0,0,1,0,0,28,0,0,0,1,0,0
Network Administrator,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0
Node js developer,0,0,0,0,1,0,0,1,0,0,29,0,1,0,0
PHP Developer,0,0,0,0,0,0,0,2,0,0,1,26,0,2,0
Software Engineer,1,1,1,0,0,1,3,1,0,0,0,0,24,0,0
Wordpress Developer,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0
iOS Developer,0,0,0,0,0,1,0,0,0,0,0,0,2,0,29
