doc_index,dominant_topic
0,1
1,0
2,6
3,3
4,0
5,0
6,0
7,7
8,5
9,0
10,5
11,6
12,6
13,0
14,0
15,0
16,4
17,3
18,5
19,0
20,5
21,4
22,0
23,5
24,8
25,3
26,0
27,2
28,5
29,0
30,6
31,8
32,8
33,6
34,0
35,1
36,5
37,4
38,5
39,2
40,0
41,0
42,0
43,4
44,7
45,9
46,6
47,5
48,3
49,0
50,3
51,6
52,0
53,1
54,8
55,8
56,0
57,4
58,0
59,4
60,6
61,7
62,0
63,0
64,3
65,9
66,7
67,0
68,8
69,5
70,9
71,4
72,0
73,9
74,5
75,0
76,7
77,4
78,0
79,0
80,2
81,9
82,7
83,0
84,5
85,6
86,0
87,1
88,5
89,5
90,6
91,1
92,6
93,0
94,5
95,0
96,6
97,4
98,0
99,1
100,6
101,4
102,7
103,5
104,0
105,0
106,3
107,8
108,6
109,4
110,1
111,9
112,0
113,8
114,1
115,0
116,1
117,8
118,1
119,8
120,8
121,7
122,0
123,7
124,3
125,0
126,0
127,0
128,0
129,0
130,0
131,5
132,1
133,5
134,5
135,1
136,0
137,0
138,0
139,8
140,0
141,8
142,1
143,6
144,9
145,1
146,0
147,4
148,0
149,9
150,7
151,5
152,4
153,0
154,0
155,3
156,1
157,6
158,7
159,1
160,8
161,0
162,7
163,0
164,1
165,0
166,4
167,0
168,1
169,4
170,8
171,0
172,4
173,0
174,1
175,6
176,0
177,0
178,1
179,1
180,7
181,9
182,5
183,1
184,3
185,0
186,8
187,9
188,8
189,0
190,4
191,1
192,1
193,8
194,1
195,7
196,1
197,1
198,3
199,0
200,1
201,8
202,2
203,0
204,0
205,4
206,2
207,0
208,1
209,8
210,1
211,2
212,0
213,5
214,8
215,4
216,5
217,1
218,0
219,1
220,2
221,6
222,7
223,4
224,9
225,4
226,5
227,5
228,4
229,8
230,1
231,0
232,5
233,0
234,0
235,6
236,0
237,8
238,9
239,0
240,8
241,8
242,1
243,2
244,0
245,4
246,4
247,8
248,0
249,0
250,0
251,2
252,9
253,3
254,7
255,5
256,6
257,4
258,0
259,8
260,8
261,2
262,0
263,6
264,7
265,2
266,9
267,0
268,1
269,3
270,3
271,3
272,3
273,3
274,6
275,0
276,0
277,0
278,0
279,8
280,6
281,0
282,0
283,0
284,5
285,1
286,4
287,1
288,0
289,6
290,1
291,7
292,8
293,1
294,9
295,4
296,0
297,0
298,5
299,1
300,1
301,8
302,0
303,3
304,5
305,4
306,7
307,0
308,7
309,2
310,6
311,0
312,3
313,0
314,4
315,0
316,1
317,1
318,5
319,6
320,1
321,0
322,0
323,6
324,5
325,9
326,0
327,1
328,0
329,6
330,9
331,0
332,0
333,2
334,7
335,5
336,0
337,3
338,1
339,5
340,0
341,6
342,0
343,0
344,1
345,6
346,6
347,2
348,6
349,2
350,9
351,6
352,0
353,8
354,0
355,5
356,0
357,9
358,4
359,1
360,1
361,5
362,1
363,0
364,5
365,1
366,0
367,8
368,9
369,0
370,9
371,0
372,5
373,1
374,0
375,1
376,5
377,7
378,1
379,0
380,1
381,7
382,1
383,1
384,8
385,1
386,1
387,0
388,4
389,1
390,8
391,7
392,8
393,6
394,0
395,1
396,1
397,8
398,1
399,5
400,5
401,8
402,6
403,9
404,8
405,3
406,0
407,0
408,3
409,0
410,8
411,8
412,6
413,8
414,1
415,3
416,6
417,1
418,4
419,6
420,5
421,6
422,0
423,3
424,7
425,7
426,1
427,5
428,5
429,1
430,0
431,5
432,3
433,3
434,9
435,5
436,3
437,3
438,0
439,3
440,6
441,0
442,1
443,0
444,9
445,0
446,7
447,0
448,0
449,7
450,1
451,0
452,7
453,5
454,6
455,4
456,8
457,1
458,7
459,1
460,7
461,7
462,0
463,5
464,6
465,9
466,6
467,2
468,8
469,1
470,6
471,8
472,0
473,0
474,1
475,0
476,4
477,2
478,5
479,8
480,3
481,0
482,0
483,1
484,0
485,9
486,0
487,4
488,4
489,8
490,0
491,7
492,3
493,1
494,6
495,1
496,6
497,2
498,0
499,7
500,1
501,1
502,1
503,0
504,0
505,0
506,9
507,5
508,3
509,5
510,0
511,1
512,8
513,0
514,8
515,0
516,0
517,0
518,0
519,2
520,6
521,0
522,6
523,6
524,9
525,0
526,4
527,6
528,1
529,2
530,5
531,9
532,8
533,0
534,0
535,1
536,0
537,2
538,1
539,9
540,3
541,0
542,0
543,3
544,0
545,6
546,0
547,6
548,0
549,0
550,5
551,0
552,0
553,8
554,4
555,0
556,6
557,0
558,1
559,5
560,0
561,0
562,0
563,0
564,0
565,6
566,1
567,0
568,5
569,0
570,5
571,3
572,8
573,0
574,0
575,0
576,8
577,4
578,0
579,1
580,5
581,0
582,9
583,8
584,0
585,5
586,3
587,8
588,0
589,5
590,0
591,0
592,9
593,5
594,3
595,5
596,0
597,0
598,6
599,0
600,4
601,8
602,9
603,4
604,1
605,6
606,2
607,0
608,4
609,6
610,7
611,2
612,0
613,9
614,7
615,4
616,5
617,3
618,0
619,1
620,6
621,7
622,0
623,0
624,5
625,5
626,5
627,1
628,0
629,0
630,2
631,0
632,5
633,0
634,0
635,0
636,4
637,5
638,4
639,4
640,1
641,0
642,1
643,9
644,7
645,4
646,4
647,6
648,0
649,5
650,0
651,3
652,1
653,5
654,0
655,9
656,0
657,5
658,0
659,5
660,6
661,9
662,1
663,6
664,9
665,0
666,1
667,2
668,0
669,5
670,8
671,1
672,7
673,1
674,5
675,0
676,0
677,5
678,1
679,1
680,0
681,6
682,0
683,0
684,0
685,4
686,5
687,7
688,8
689,1
690,8
691,1
692,9
693,8
694,0
695,0
696,0
697,0
698,0
699,0
700,9
701,0
702,0
703,0
704,0
705,8
706,1
707,8
708,7
709,1
710,0
711,9
712,7
713,1
714,0
715,6
716,0
717,9
718,1
719,7
720,1
721,2
722,9
723,8
724,0
725,5
726,7
727,7
728,5
729,0
730,1
731,1
732,0
733,0
734,4
735,3
736,0
737,4
738,1
739,2
740,6
741,1
742,6
743,5
744,0
745,7
746,0
747,0
748,0
749,5
750,1
751,1
752,3
753,1
754,2
755,2
756,7
757,7
758,0
759,1
760,0
761,4
762,3
763,3
764,8
765,3
766,6
767,3
768,1
769,8
770,0
771,3
772,2
773,6
774,3
775,6
776,5
777,0
778,3
779,0
780,9
781,0
782,5
783,2
784,1
785,1
786,1
787,1
788,0
789,1
790,0
791,0
792,0
793,0
794,1
795,2
796,0
797,7
798,8
799,8
800,2
801,0
802,0
803,0
804,8
805,5
806,5
807,5
808,6
809,9
810,4
811,9
812,5
813,2
814,5
815,7
816,2
817,0
818,7
819,6
820,3
821,2
822,1
823,5
824,5
825,0
826,7
827,6
828,0
829,8
830,0
831,4
832,1
833,6
834,1
835,9
836,9
837,0
838,7
839,5
840,6
841,1
842,3
843,1
844,4
845,3
846,5
847,0
848,0
849,0
850,5
851,4
852,9
853,0
854,0
855,4
856,5
857,0
858,5
859,1
860,1
861,9
862,4
863,6
864,3
865,7
866,0
867,5
868,8
869,1
870,0
871,0
872,5
873,9
874,7
875,7
876,0
877,0
878,5
879,0
880,1
881,5
882,7
883,3
884,0
885,6
886,7
887,5
888,0
889,1
890,6
891,3
892,0
893,1
894,0
895,8
896,9
897,4
898,6
899,6
900,1
901,2
902,8
903,5
904,2
905,0
906,8
907,9
908,7
909,1
910,9
911,0
912,1
913,7
914,4
915,4
916,3
917,7
918,6
919,9
920,1
921,8
922,6
923,1
924,6
925,3
926,0
927,7
928,1
929,0
930,0
931,1
932,5
933,0
934,8
935,3
936,8
937,1
938,0
939,0
940,2
941,0
942,0
943,4
944,9
945,1
946,0
947,0
948,4
949,0
950,1
951,8
952,5
953,1
954,7
955,8
956,7
957,0
958,0
959,0
960,0
961,0
962,2
963,0
964,5
965,0
966,3
967,7
968,3
969,8
970,5
971,1
972,8
973,5
974,3
975,8
976,1
977,1
978,0
979,9
980,0
981,0
982,1
983,1
984,6
985,0
986,0
987,6
988,4
989,5
990,0
991,5
992,4
993,0
994,1
995,0
996,3
997,1
998,1
999,6
1000,7
1001,7
1002,6
1003,5
1004,2
1005,1
1006,0
1007,3
1008,0
1009,5
1010,5
1011,8
1012,0
1013,5
1014,7
1015,7
1016,5
1017,5
1018,8
1019,6
1020,0
1021,2
1022,8
1023,7
1024,1
1025,6
1026,7
1027,5
1028,3
1029,7
1030,4
1031,0
1032,0
1033,5
1034,8
1035,1
1036,7
1037,8
1038,5
1039,0
1040,5
1041,9
1042,0
1043,5
1044,1
1045,5
1046,5
1047,7
1048,9
1049,1
1050,0
1051,7
1052,2
1053,6
1054,1
1055,8
1056,5
1057,9
1058,0
1059,8
1060,0
1061,5
1062,5
1063,0
1064,5
1065,1
1066,0
1067,1
1068,3
1069,8
1070,5
1071,5
1072,6
1073,2
1074,9
1075,5
1076,5
1077,9
1078,1
1079,1
1080,1
1081,4
1082,5
1083,7
1084,9
1085,0
1086,1
1087,1
1088,8
1089,0
1090,2
1091,0
1092,1
1093,1
1094,5
1095,5
1096,5
1097,5
1098,0
1099,3
1100,0
1101,0
1102,9
1103,1
1104,1
1105,6
1106,6
1107,0
1108,9
1109,0
1110,5
1111,9
1112,1
1113,8
1114,5
1115,2
1116,0
1117,7
1118,0
1119,1
1120,8
1121,1
1122,3
1123,2
1124,8
1125,6
1126,0
1127,8
1128,7
1129,3
1130,9
1131,5
1132,3
1133,1
1134,4
1135,9
1136,4
1137,0
1138,7
1139,1
1140,1
1141,0
1142,1
1143,7
1144,0
1145,9
1146,5
1147,9
1148,9
1149,7
1150,9
1151,6
1152,4
1153,0
1154,5
1155,5
1156,0
1157,4
1158,7
1159,1
1160,2
1161,5
1162,5
1163,0
1164,5
1165,0
1166,0
1167,8
1168,0
1169,4
1170,0
1171,7
1172,0
1173,8
1174,7
1175,0
1176,4
1177,3
1178,6
1179,6
1180,1
1181,6
1182,0
1183,6
1184,0
1185,6
1186,3
1187,1
1188,4
1189,4
1190,1
1191,4
1192,3
1193,6
1194,0
1195,0
1196,1
1197,8
1198,1
1199,0
1200,2
1201,5
1202,4
1203,7
1204,5
1205,5
1206,5
1207,0
1208,5
1209,4
1210,0
1211,1
1212,4
1213,0
1214,8
1215,1
1216,1
1217,6
1218,8
1219,0
1220,1
1221,1
1222,5
1223,1
1224,5
1225,9
1226,1
1227,3
1228,3
