rating,date,variation,text,label,cleaned_text,normalized_text,tokens,token_count,processed_text
5,31-Jul-18,Charcoal Fabric ,Love my Echo!,1,love my echo,love my echo,love echo,2,love echo
5,31-Jul-18,Charcoal Fabric ,Loved it!,1,loved it,loved it,love,1,love
4,31-Jul-18,Walnut Finish ,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",1,sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you i like being able to turn lights on and off while away from home,sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you i like being able to turn lights on and off while away from home,sometim play game answer question correctli alexa say got wrong answer like abl turn light away home,17,sometim play game answer question correctli alexa say got wrong answer like abl turn light away home
5,31-Jul-18,Charcoal Fabric ,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1,i have had a lot of fun with this thing my yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,i have had a lot of fun with this thing my yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,lot fun thing yr old learn dinosaur control light play game like categori nice sound play music well,18,lot fun thing yr old learn dinosaur control light play game like categori nice sound play music well
5,31-Jul-18,Charcoal Fabric ,Music,1,music,music,music,1,music
5,31-Jul-18,Heather Gray Fabric ,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",1,i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker can t wait to see what else it can do,i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker can t wait to see what else it can do,receiv echo gift need anoth bluetooth someth play music easili access found smart speaker wait see els,17,receiv echo gift need anoth bluetooth someth play music easili access found smart speaker wait see els
3,31-Jul-18,Sandstone Fabric ,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.",1,without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use it is a great alarm if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep her it is fun to ask random questions to hear her response she does not seem to be very smartbon politics yet,without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use it is a great alarm if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep her it is fun to ask random questions to hear her response she does not seem to be very smartbon politics yet,without cellphon use mani featur ipad see use great alarm almost deaf hear alarm bedroom live room reason enough keep fun ask random question hear respons seem smartbon polit yet,30,without cellphon use mani featur ipad see use great alarm almost deaf hear alarm bedroom live room reason enough keep fun ask random question hear respons seem smartbon polit yet
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1,i think this is the th one i ve purchased i m working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,i think this is the th one i ve purchased i m working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,think th one purchas work get one everi room hous realli like featur offer specifili play music echo control light throughout hous,22,think th one purchas work get one everi room hous realli like featur offer specifili play music echo control light throughout hous
5,30-Jul-18,Heather Gray Fabric ,looks great,1,looks great,looks great,look great,2,look great
5,30-Jul-18,Heather Gray Fabric ,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",1,love it i ve listened to songs i haven t heard since childhood i get the news weather information it s great,love it i ve listened to songs i haven t heard since childhood i get the news weather information it s great,love listen song heard sinc childhood get news weather inform great,11,love listen song heard sinc childhood get news weather inform great
5,30-Jul-18,Charcoal Fabric ,"I sent it to my 85 year old Dad, and he talks to it constantly.",1,i sent it to my year old dad and he talks to it constantly,i sent it to my year old dad and he talks to it constantly,sent year old dad talk constantli,6,sent year old dad talk constantli
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1,i love it learning knew things with it eveyday still figuring out how everything works but so far it s been easy to use and understand she does make me laugh at times,i love it learning knew things with it eveyday still figuring out how everything works but so far it s been easy to use and understand she does make me laugh at times,love learn knew thing eveyday still figur everyth work far easi use understand make laugh time,16,love learn knew thing eveyday still figur everyth work far easi use understand make laugh time
5,30-Jul-18,Oak Finish ,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",1,i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she did she enjoys all the little and big things it can do alexa play this song what time is it and where and how to cook this and that,i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she did she enjoys all the little and big things it can do alexa play this song what time is it and where and how to cook this and that,purchas mother knee problem give someth tri come get around fast like enjoy littl big thing alexa play song time cook,21,purchas mother knee problem give someth tri come get around fast like enjoy littl big thing alexa play song time cook
5,30-Jul-18,Charcoal Fabric ,"Love, Love, Love!!",1,love love love,love love love,love love love,3,love love love
5,30-Jul-18,Oak Finish ,Just what I expected....,1,just what i expected,just what i expected,expect,1,expect
5,30-Jul-18,Heather Gray Fabric ,"I love it, wife hates it.",1,i love it wife hates it,i love it wife hates it,love wife hate,3,love wife hate
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase.  Great speaker and easy to set up.,1,really happy with this purchase great speaker and easy to set up,really happy with this purchase great speaker and easy to set up,realli happi purchas great speaker easi set,7,realli happi purchas great speaker easi set
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,use alexa coupl day lot fun new toy like new household member tri learn differ featu benefit come,18,use alexa coupl day lot fun new toy like new household member tri learn differ featu benefit come
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1,we love the size of the nd generation echo still needs a little improvement on sound,we love the size of the nd generation echo still needs a little improvement on sound,love size nd gener echo still need littl improv sound,10,love size nd gener echo still need littl improv sound
4,30-Jul-18,Sandstone Fabric ,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",1,i liked the original echo this is the same but shorter and with greater fabric color choices i miss the volume ring on top now it s just the plus minus buttons not a big deal but the ring w as comforting other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexa echo computer so what s not to like,i liked the original echo this is the same but shorter and with greater fabric color choices i miss the volume ring on top now it s just the plus minus buttons not a big deal but the ring w as comforting other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexa echo computer so what s not to like,like origin echo shorter greater fabric color choic miss volum ring top plu minu button big deal ring comfort well like use standard usb charger port instead previou round pin guess sound seem work still answer alexa echo comput like,40,like origin echo shorter greater fabric color choic miss volum ring top plu minu button big deal ring comfort well like use standard usb charger port instead previou round pin guess sound seem work still answer alexa echo comput like
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,love echo good music sound play alexa understand command difficult time find specif playlist song spotifi good amazon music lack major program,22,love echo good music sound play alexa understand command difficult time find specif playlist song spotifi good amazon music lack major program
5,30-Jul-18,Charcoal Fabric ,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",1,we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume we re sure we ll continue to find new uses sometimes it s a bit frustrating when alexa doesn t understand what we re saying,we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume we re sure we ll continue to find new uses sometimes it s a bit frustrating when alexa doesn t understand what we re saying,love alexa use play music play radio itun play podcast anypod set remind listen flash brief news weather everi morn reli custom list like abl voic control volum sure continu find new use sometim bit frustrat alexa understand say,39,love alexa use play music play radio itun play podcast anypod set remind listen flash brief news weather everi morn reli custom list like abl voic control volum sure continu find new use sometim bit frustrat alexa understand say
4,30-Jul-18,Heather Gray Fabric ,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",1,have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and it s not intrusive to look at,have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and it s not intrusive to look at,set day still ad smart home devic speaker great play music like size station kitchen counter intrus look,18,set day still ad smart home devic speaker great play music like size station kitchen counter intrus look
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,1,i love it it plays my sleep sounds immediately when i ask,i love it it plays my sleep sounds immediately when i ask,love play sleep sound immedi ask,6,love play sleep sound immedi ask
3,30-Jul-18,Sandstone Fabric ,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",1,i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all overall not a big improvement over the st generation,i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all overall not a big improvement over the st generation,got second unit bedroom expect sound improv didnt realli see differ overal big improv st gener,16,got second unit bedroom expect sound improv didnt realli see differ overal big improv st gener
5,30-Jul-18,Sandstone Fabric ,Amazing product,1,amazing product,amazing product,amaz product,2,amaz product
5,30-Jul-18,Charcoal Fabric ,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",1,i love my echo it s easy to operate loads of fun it is everything as advertised i use it mainly to play my favorite tunes and test alexa s knowledge,i love my echo it s easy to operate loads of fun it is everything as advertised i use it mainly to play my favorite tunes and test alexa s knowledge,love echo easi oper load fun everyth advertis use mainli play favorit tune test alexa knowledg,16,love echo easi oper load fun everyth advertis use mainli play favorit tune test alexa knowledg
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,1,sounds great love them,sounds great love them,sound great love,3,sound great love
4,30-Jul-18,Charcoal Fabric ,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.",1,fun item to play with and get used to using sometimes has hard time answering the questions you ask but i think it will be better,fun item to play with and get used to using sometimes has hard time answering the questions you ask but i think it will be better,fun item play get use use sometim hard time answer question ask think better,14,fun item play get use use sometim hard time answer question ask think better
5,30-Jul-18,Charcoal Fabric ,Just like the other one,1,just like the other one,just like the other one,like one,2,like one
